,Titre,Auteur,Summary
780,Vies minuscules ,Pierre Michon, 
781,L'amant japonais ,Isabel Allende,"A 80 ans, Alma Belasco, toujours belle et pleine d'allant, quitte sa vaste demeure pour s'installer dans une résidence pour personnes âgées des environs de San Francisco. Là, elle se lie d'amitié avec Irina, jeune infirmière moldave, qui a comme elle un passé douloureux. Seth, son petit-fils, tombe amoureux d'Irina et, au prétexte d'écrire une histoire de la famille, rend de fréquentes visites à sa grand-mère. Alma leur raconte l'histoire de sa vie : sa fuite de Pologne dans les années 1930, son installation chez son oncle, et surtout son histoire d'amour avec Ichimei, le fils du jardinier, compagnon de son enfance."
782,"Soudain, seuls ",Isabelle Autissier,"Un couple de trentenaires partis faire le tour du monde. Une île déserte, entre la Patagonie et le cap Horn. Une nature rêvée, sauvage, qui vire au cauchemar. Un homme et une femme amoureux, qui se retrouvent, soudain, seuls. Leurs nouveaux compagnons : des manchots, des otaries, des éléphants de mer et des rats. Comment lutter contre la faim et l’épuisement ? Et si on survit, comment revenir chez les hommes ? Un roman où l’on voyage dans des conditions extrêmes, où l’on frissonne pour ces deux Robinson modernes. Une histoire bouleversante."
783,Dans les brumes du mal ,René Manzor,"Un thriller magistral par l’auteur de Celui dont le nom n’est plus, Prix Polar Cognac 2014 La mère de Tom est morte, et Tom a disparu. Tom, mais aussi John, Michael et Lily. À chaque fois, une mère est assassi- née et son enfant enlevé, comme évanoui dans les brumes inquiétantes qui submergent si souvent la Caroline du Sud. Dahlia Rhymes, agent du FBI spécialisée dans les crimes rituels, s’impose dans l’enquête. Tom est son neveu, et même si elle ne l’a jamais vu car elle a rompu toute relation avec sa famille, elle ne peut pas l’abandonner. En retrouvant les marais et les chênes séculaires de son enfance, Dahlia retrouve aussi Nathan Miller, un ancien gamin des rues devenu un des meil- leurs flics de Charleston. Ensemble, ils se lancent à la recherche des enfants, sans autre indice que le témoignage d’un voisin, qui prétend avoir vu rôder autour d’une des maisons une shadduh, une ombre vaudoue. Et si, pour une fois, le mobile n’était ni l’argent, ni le sexe, ni la vengeance, ni même l’amour ?"
784,La muraille invisible ,Henning Mankell,"L'automne est revenu à Ystad. Tynnes Falk, consultant en informatique, s'écroule mort devant un distributeur bancaire. Au même moment, deux adolescentes tuent sauvagement un chauffeur de taxi. La plus âgée s'enfuit du commissariat. Son corps est retrouvé à l'intérieur d'un transformateur à haute tension. C'est alors que Wallander découvre le sanctuaire clandestin de Falk. L'univers qui se dévoile peu à peu aux enquêteurs - grâce à la complicité d'un jeune hacker surdoué - est vertigineux. L'ennemi se révèle à la fois omniprésent, omnipotent et invisible. A ceci près qu'il menace les centres financiers de la planète. Confronté à l'enquête la plus difficile de sa carrière, Wallander est plus seul que jamais. Peut-il encore se fier à ses collègues ? Qu'en est-il de la Suède où des adolescentes passent à l'acte à coups de marteau ? Et où ceux qui le peuvent cherchent à quitter le pays. Wallander, lui, n'a pas le choix. Il reste. Contre toute attente, une femme va croiser sa route ..."
785,Sasha ,Nora Roberts,"Sasha est hantée par des songes, qui lui inspirent des tableaux extraordinaires. Décidée à découvrir l’origine de ses visions, elle comprend que tout commence à Corfou, où elle se sent irrésistiblement attirée. Sur place, elle fait la rencontre de personnes qu’elle a côtoyées à maintes reprises dans ses rêves. Toutes ont été appelées pour la même raison : retrouver l’Étoile de Feu, un astre fabuleux autrefois créé par une déesse... D’île en île, de voyage en voyage, chacun s’engage dans une quête qui le conduira jusqu’en Irlande. Au bout du chemin, ne serait-ce pas l’amour qui les attend ?"
786,Passé imparfait ,Julian Fellowes,"Avec toute la grâce, l'humour et l'intelligence des meilleurs romanciers d'outre-Manche, le créateur de Downton Abbey nous propose un voyage passionnant dans la haute société anglaise. Lorsque commence cette histoire, le narrateur est sans nouvelles de Damien Baxter depuis près de quarante ans. Inséparables durant leurs études à Cambridge, leur indéfectible amitié s'est muée en une haine féroce, suite à de mystérieux événements survenus lors de vacances au Portugal en 1970. Aussi, le jour où notre homme reçoit une invitation de Damien, la surprise est-elle de taille. Après des retrouvailles déconcertantes dans un magnifique manoir de la campagne anglaise où Damien vit seul, entouré de son personnel, ce dernier fait à son invité une révélation inattendue : il est atteint d'une maladie incurable et n'a pas d'héritier à qui léguer son immense fortune. À moins que... Quelques années auparavant, une femme lui a adressé une lettre anonyme dans laquelle elle prétendait qu'il était le père de son enfant. Une femme rencontrée entre 1968 et 1970. Damien propose alors à notre héros de partir à la recherche de ses anciennes conquêtes, cinq jeunes filles de bonne famille que les deux amis ont fréquentées dans le Londres des Swinging Sixties. C'est le début d'un voyage vers un passé plein de fantômes, de secrets et de révélations surprenantes. Retraçant l'évolution de la haute société anglaise depuis la fin des années 1960, Julian Fellowes dresse le tableau d'une classe et d'un pays en pleine mutation. Il nous offre surtout un personnage inoubliable qui, au rythme de révélations qui le bouleverseront tout autant que le lecteur, va peu à peu prendre conscience que si les temps ont changé, lui aussi."
787,Lettre à ma fille ,Maya Angelou,"Préface de Dinaw Mengestu Dédié à celle qu’elle n’a jamais eue, Lettre à ma fille est une succession de courts textes décrivant les souvenirs qui ont façonné la vie exceptionnelle de Maya Angelou. Féministe avant l’heure, et après une enfance et une adolescence marquée par la violence, elle écrit avec le cœur de millions de femmes qu’elle considère comme ses sœurs de combat. La littérature la sauvera et l’amènera à être la première étudiante noire d’une école privée. Puis elle fréquentera le milieu intellectuel noir-américain et deviendra une grande militante de la condition des femmes noires. C’est grâce à l’écrivain James Baldwin qu’elle se mettra à écrire après la mort de Martin Luther King et deviendra l’auteure que l’on connaît aujourd’hui. Dans ce captivant récit, l’auteure nous fait partager ses combats et les épreuves qui ont forgé son caractère dans la compassion et le courage. Maya Angelou fut poète, écrivaine, actrice, enseignante et réalisatrice. En 2013, en tant que militante des droits civiques américains, elle a reçu le National Book Award pour « service exceptionnel rendu à la communauté littéraire américaine ». Elle est décédée le 28 mai 2014 à l’âge de 86 ans."
788,Le voyage d'hiver ,Amélie Nothomb,"« Il n'y a pas d'échec amoureux. » Tout est possible. Et, dans ce possible, on se laisse volontiers guider par une Amélie défoncée qui, jonglant avec ses figurines de lanterne magique, s'envoie joyeusement en l'air... Jean-Paul Enthoven, Le Point. Le Voyage d'hiver, titre emprunté à Schubert, [...] est une fantaisie originale dont l'étrange saveur ne se dissipe pas de sitôt. Delphine Peras, Lire. Lumineux démiurge, Amélie Nothomb apporte un peu de légèreté dans un monde d'une terrifiante gravité. Son nouveau roman est épatant ! François Busnel, L'Express."
789,L'aménagement du territoire ,Aurélien Bellanger, 
790,Chagrin d'école ,Daniel Pennac,"Chagrin d’école, dans la lignée de Comme un roman, aborde la question de l’école du point de vue de l’élève, et en l’occurrence du mauvais élève. Daniel Pennac, ancien cancre lui-même, étudie cette figure du folklore populaire en lui donnant ses lettres de noblesse, en lui restituant aussi son poids d’angoisse et de douleur."
791,Les Mandible ,Lionel Shriver, 
792,Les anges sans visage ,Tony Parsons,"A Londres, les grandes familles abritent les secrets les plus terrifiants. Une famille est retrouvée assassinée dans sa luxueuse demeure, après les fêtes du Jour de l'an. Le plus jeune fils a disparu. Quel est le véritable motif du crime ? Pour quelles raisons le meurtrier a-t-il utilisé un pistolet qui sert d'habitude à tuer le bétail dans les abattoirs ? Trente ans plus tôt, un homme a éliminé un père et ses trois fils de la même façon. Mais ""l'Exécuteur"" est aujourd'hui un homme malade, mourant, qui vit dans une caravane. Difficile de penser qu'il peut être lié, de près ou de loin, à une famille aussi riche et puissante... L'enquêteur Max Wolfe va se retrouver tiraillé entre la nécessaire tendresse dont il entoure sa fille, qu'il élève seul, et sa rage de policier endurci, qui n'a de cesse de rendre justice. Best-seller en Angleterre, Les Anges sans visage a été publié dans plus de onze pays. Ancien journaliste de punk rock, ayant côtoyé les Clash ou les Sex Pistols, Tony Parsons est aussi l'auteur de Des garçons bien élevés, la première enquête de Max Wolfe, qui a rencontré un beau succès en France."
793,Crystal City ,Hervé Claude, 
794,Délivrances ,Toni Morrison, 
795,La nuit du bûcher ,Sandor Marai,"Rome, 1598. L'Inquisition sévit contre les hérétiques. Enfermés, torturés, ces derniers reçoivent à la veille de leur exécution la visite d'inquisiteurs pour les inciter à se repentir. Venu prendre des ""leçons d'Inquisition"", un carme d'Avila demande à suivre la dernière nuit d'un condamné. On lui accorde. L'hérétique, qui résiste depuis sept ans, s'appelle Giordano Bruno. L'Espagnol assiste aux dernières exhortations, vaines, des inquisiteurs, puis accompagne au petit matin le prisonnier au bûcher. Saisi par la violence de cette expérience, il voit toutes ses certitudes vaciller... Nourri de l'expérience de la guerre, du fascisme, et du stalinisme qui poussera Márai à l'exil, ce roman, écrit en 1974, expose le regard lucide d'un homme sur l'idéologie totalitaire, conçue pour broyer la volonté et la dignité humaines."
796,Le chien ,Éric-Emmanuel Schmitt, 
797,Extorsion ,James Ellroy, 
798,Le premier homme ,Albert Camus, 
799,L'empire du Graal ,Eric Giacometti, 
800,La maison atlantique ,Philippe Besson, 
801,Alex ,Pierre Lemaitre, 
802,L'île des chasseurs d'oiseaux ,Peter May, 
803,La femme secrète ,Anna Ekberg, 
804,Le silence pour toujours ,Stuart Neville, 
805,Songe à la douceur ,Clémentine Beauvais, 
806,Le rabaissement ,Philip Roth, 
807,Le chardonneret ,Donna Tartt, 
808,Mes vrais enfants ,Jo Walton, 
809,Big Mama trombone ,Claude Clément, 
810,Pars avec lui ,Agnès Ledig, 
811,Divergente ,Veronica Roth, 
812,Le coeur battant de nos mères ,Brit Bennett, 
813,Le bruit et la fureur ,William Faulkner, 
814,La société du mystère ,Dominique Fernandez, 
815,En lieux sûrs ,Linwood Barclay, 
816,Trois femmes blessées ,Barbara Taylor Bradford, 
817,Jusqu'à la fin des temps ,Danielle Steel, 
818,Rural noir ,Benoît Minville, 
819,Mes regrets sont des remords ,Frédéric Mitterrand, 
820,Au piano ,Jean Echenoz, 
821,Coquillette la mauviette ,Arnaud Cathrine, 
822,M Train ,Patti Smith, 
823,Dans le jardin de l'ogre ,Leïla Slimani, 
824,Contes pour enfants pas sages ,Jacques Prévert, 
825,Brunetti et le mauvais augure ,Donna Leon, 
826,Made in China ,Jean-Philippe Toussaint, 
827,L'assassin des ruines ,Cay Rademacher, 
828,Une vie de chat ,Philippe Geluck, 
829,Le club des miracles relatifs ,Nancy Huston, 
830,Quatuor ,Anna Enquist, 
831,Le braconnier du lac perdu ,Peter May, 
832,La servante écarlate ,Margaret Atwood, 
833,"Pottsville, 1280 habitants ",Jim Thompson, 
834,Double nationalité ,Nina Yargekov, 
835,Lumière du monde ,James Lee Burke, 
836,L'éternel rival ,Jane Gardam, 
837,Les assassins ,Roger Jon Ellory, 
838,Un chemin de tables ,Maylis de Kerangal, 
839,"Mon père, ma mère et Sheila ",Eric Romand, 
840,Amours ,Léonor de Récondo, 
841,Nos premiers jours ,Jane Smiley, 
842,Aux portes de l'éternité ,Ken Follett, 
843,"Mazie, sainte patronne des fauchés et des assoiffés ",Jami Attenberg, 
844,Vengeance ,Benjamin Black, 
845,Et mes yeux se sont fermés ,Patrick Bard, 
846,La lettre et le peigne ,Nils Barrellon, 
847,Péché de chair ,Colleen McCullough, 
848,Le secret de la manufacture de chaussettes inusables ,Annie Barrows,"Ce n'était pas le projet estival dont Layla avait rêvé. Rédiger l'histoire d'une petite ville de Virginie-Occidentale et de sa manufacture de chaussettes, Les Inusables Américaines. Et pourtant... Eté 1938. Layla Beck, jeune citadine fortunée, refuse le riche parti que son père lui a choisi et se voit contrainte, pour la première fois de sa vie, de travailler. Recrutée au sein d'une agence gouvernementale, elle se rend à Macedonia pour y écrire un livre de commande sur cette petite ville. L'été s'annonce mortellement ennuyeux. Mais elle va tomber sous le charme des excentriques désargentés chez lesquels elle prend pension. Dans la famille Romeyn, il y a... La fille, Willa, douze ans, qui a décidé de tourner le dos à l'enfance... La tante, Jottie, qui ne peut oublier la tragédie qui a coûté la vie à celui qu'elle aimait... Et le père, le troublant Félix, dont les activités semblent peu orthodoxes. Autrefois propriétaire de la manufacture, cette famille a une histoire intimement liée à celle de la ville. De soupçons en révélations, Layla va changer à jamais l'existence des membres de cette communauté, et mettre au jour vérités enfouies et blessures mal cicatrisées."
849,Monnaie de sang ,Patricia Cornwell,"La première. La meilleure. L’experte. Le livre : Kay Scarpetta s'apprête à partir célébrer son anniversaire à Miami en compagnie de son mari, Benton Wesley, quand elle remarque sept pennies alignés à son insu, sur le mur derrière leur maison. À cet instant, un appel du détective Pete Marino l'informe qu'un professeur a été abattu non loin de chez elle. Le tireur a agi avec précision et personne n'a rien vu ni entendu. Il pourrait s’agir du tueur ayant déjà fait des victimes dans le New Jersey, mais rien ne permet encore de l’affirmer. Kay soupçonne que le lien, s’il existe, se trouve sous ses yeux. Lorsque la menace se profile dans son entourage, il devient clair que quelqu’un cherche à la faire payer, en monnaie de sang. L’auteur : Patricia Cornwell est internationalement connue pour sa série mettant en scène le médecin légiste Kay Scarpetta, traduite en trente-six langues dans plus de cinquante pays. Elle compte plus de vingt titres ayant figuré en tête des ventes du New York Times, avec cent millions de livres vendus à travers le monde. Son premier livre, Postmortem, est le seul roman à avoir remporté la même année cinq des plus importants prix récompensant un roman policier, dont celui du Roman d’aventure en France. Patricia Cornwell fut la pionnière du « polar scientifique » grâce à sa grande maîtrise des sciences légales, et sa connaissance des techniques et des méthodologies scientifiques. Elle est la co-fondatrice de l’Institut de sciences médico-légales de Virginie et membre du conseil national de l’hôpital McLean, affilié à Harvard. En 2011, elle a été nommée chevalier de l’Ordre des Arts et des Lettres."
850,Le dévouement du suspect X ,Keigo Higashino,"Ishigami, un professeur de mathématiques, est amoureux de sa voisine, Yasuko Hanaoka, une divorcée qui élève seule sa fille. Mais son ex-mari a retrouvé sa trace et la harcèle. Elle le tue en cherchant à protéger sa fille qu'il a attaquée. Ishigami, qui a tout entendu, y voit l'occasion de se rapprocher d'elle et lui propose son aide. Il entreprend alors de maquiller le crime en le considérant comme un problème de mathématiques à résoudre... Un roman noir sur la folle logique de la passion."
851,Code 93 ,Olivier Norek,"Victor Coste est capitaine de police au groupe crime du SDPJ 93. Depuis quinze ans, il a choisi de travailler en banlieue et de naviguer au cœur de la violence banalisée et des crimes gratuits. Une série de découvertes étranges – un cadavre qui refuse de mourir, un toxico victime d'autocombustion – l'incite à penser que son enquête, cette fois-ci, va dépasser le cadre des affaires habituelles du 9-3. Et les lettres anonymes qui lui sont adressées personnellement vont le guider vers des sphères autrement plus dangereuses... Écrit par un "" vrai flic "", Code 93 se singularise par une authenticité qui doit tout à l'expérience de son auteur. Mais il témoigne aussi d'une belle maîtrise des sentiments et relève un véritable défi en matière de suspense, dans un environnement proche et pourtant méconnu. Cette plongée inattendue dans un monde de manipulations criminelles au sein des milieux de la politique et de la finance nous laisse médusés."
852,Filles impertinentes ,Doris Lessing,"Avec Filles impertinentes Doris Lessing nous livre le récit poignant de sa genèse et de sa jeunesse. Elle s’y dévoile sous un jour nouveau et met toute sa puissance de conteuse au service d’un sujet universel : les relations mère-fille. Mordant, plein d’esprit et porté tout au long par une franchise hors du commun, Filles impertinentes est également l’autoportrait saisissant d’un des écrivains les plus libres de son époque."
853,Home ,Toni Morrison,"Toni Morrison nous plonge dans l'Amérique des années 1950. « Home est un roman tout en retenue. Magistral. [...] Écrit dans un style percutant, il est d'une simplicité trompeuse. Ce conte au calme terrifiant regroupe tous les thèmes les plus explosifs que Morrison a déjà explorés. Elle n'a jamais fait preuve d'autant de concision. C'est pourtant dans cette concision qu'elle démontre toute l'étendue et la force de son écriture. » The Washington Post « Ce petit roman envoûtant est une sorte de pierre de Rosette de l'œuvre de Toni Morrison. Il contient en essence tous les thèmes qui ont toujours alimenté son écriture. [...] Home est empreint d'une petite musique feutrée semblable à celle d'un quatuor, l'accord parfait entre pur naturalisme et fable. [...] Mme Morrison adopte un style tranchant qui lui permet de mettre en mots la vie quotidienne de ses personnages avec une précision poétique. » The New York Times"
854,La porte ,Magda Szabó, 
855,Silo ,Hugh Howey,"Dans un futur indéterminé, des survivants vivent depuis plusieurs générations dans un immense silo creusé dans la terre, à l’abri d'une atmosphère devenue toxique. Seul un immense écran relayant les images filmées par des caméras les relie au monde extérieur. Lorsque cette société bannit l’un des siens, il est envoyé dehors, vers une mort certaine, et pourtant, tous sans exception vont, avant de mourir, nettoyer les capteurs des caméras. Pourquoi ? Une grande bouffée d’air (frais) dans la SF."
856,"Rebelles, un peu ",Claire Castillon,"L'amour est-il un microbe? Comment subir des parents bornés? Fumer des pétards rend-il mou? À quel âge doit-on coucher? Faut-il réagir quand on reçoit un message de son père adressé à sa maîtresse? Combien de mois vit une dreadlock? Peut-on fuguer légalement? En 29 nouvelles, Claire Castillon photographie l'adolescence, cet âge où l'entre-deux fait rire et mal à la fois. Qu'ils soient angoissés ou lourds de leurs secrets, les adolescents habitent un monde à décrypter. Autant de mini-comédies qui tournent parfois au drame quand la solitude ou la mélancolie sont les plus forts, et composent un livre tendre, drôle et parfois déchirant."
857,Les ombres de Katyn ,Philip Kerr,"Mars 1943. Le Reich vient de perdre Stalingrad et le moral est au plus bas. Pour Joseph Goebbels, il faut absolument redonner du panache à l’armée allemande et porter un coup aux Alliés. Or sur le territoire soviétique, près de la frontière biélorusse, à Smolensk, ville occupée par les Allemands depuis 1941, la rumeur enfle. Des milliers de soldats polonais auraient été assassinés et enterrés dans des fosses communes. Dans la forêt de Katyn, aux abords de la ville, des loups auraient d’ailleurs déterré des fragments de corps. Qui est responsable de ce massacre ? L’Armée rouge sans doute. Pour Goebbels, c’est l’occasion rêvée pour discréditer les Russes et affaiblir les Alliés. Il a l’idée d’envoyer sur place une autorité neutre, le Bureau des crimes de guerre, réputé anti-nazi, pour enquêter objectivement sur cette triste affaire. Le capitaine Bernie Gunther, qui y officie est la personne idéale pour accomplir cette délicate mission. Gunther se retrouve dans la forêt de Katyn avec une équipe pour exhumer les quatre mille corps des officiers polonais et découvrir la vérité, quelle qu’elle soit. Traduit de l’anglais (Royaume-Uni) par Philippe Bonnet"
858,Rien ne s'oppose à la nuit ,Delphine de Vigan,"« La douleur de Lucile, ma mère, a fait partie de notre enfance et plus tard de notre vie d’adulte, la douleur de Lucile sans doute nous constitue, ma sœur et moi, mais toute tentative d’explication est vouée à l’échec. L’écriture n’y peut rien, tout au plus me permet-elle de poser les questions et d’interroger la mémoire. La famille de Lucile, la nôtre par conséquent, a suscité tout au long de son histoire de nombreux hypothèses et commentaires. Les gens que j’ai croisés au cours de mes recherches parlent de fascination ; je l’ai souvent entendu dire dans mon enfance. Ma famille incarne ce que la joie a de plus bruyant, de plus spectaculaire, l’écho inlassable des morts, et le retentissement du désastre. Aujourd’hui je sais aussi qu’elle illustre, comme tant d’autres familles, le pouvoir de destruction du Verbe, et celui du silence. Le livre, peut-être, ne serait rien d’autre que ça, le récit de cette quête, contiendrait en lui-même sa propre genèse, ses errances narratives, ses tentatives inachevées. Mais il serait cet élan, de moi vers elle, hésitant et inabouti. » Dans cette enquête éblouissante au cœur de la mémoire familiale, où les souvenirs les plus lumineux côtoient les secrets les plus enfouis, ce sont toutes nos vies, nos failles et nos propres blessures que Delphine de Vigan déroule avec force."
859,Peggy dans les phares ,Marie-Eve Lacasse,"«Depuis que je te connais je vis avec l’inquiétude de te perdre. Pour la drogue, des hommes fantasques, des femmes bouleversantes qui t’emmènent ailleurs, là où je n’ai pas accès. Il y a les rivages poétiques qui ne m’ont jamais enchantée, les bals somptueux où je n’ai pas mes entrées, la rivalité vénéneuse d’un papier imbibé sous la langue et la complicité des piqûres que je n’ai jamais voulu partager. Je suis toujours arrivée à me frayer un chemin jusqu’à toi, conservant comme je le peux une dignité impériale.» Mannequin, styliste, journaliste de mode, mariée à un grand résistant puis à Claude Brasseur, Peggy Roche a aussi été pendant vingt ans la compagne discrète de Françoise Sagan. Peggy dans les phares est le roman de cette passion dévorante traversée des plus grandes figures de la vie littéraire et artistique de l’époque."
860,Preuves d'amour ,Lisa Gardner,"Officier de police respecté, Tessa Leoni n'aurait pas supporté la violence de son mari et l'aurait froidement abattu de trois balles dans le corps avec son arme de service. C'est la version qu'elle donne à l'inspectrice D.D. Warren quand celle-ci arrive sur les lieux. Mais si les bleus sur son visage sont irréfutables, il y a une chose que D.D. Warren ne s'explique pas : la mystérieuse disparition de la petite fille de Tessa, que sa mère aime par-dessus tout, et au sujet de laquelle elle reste évasive. Tandis que l'enquête se transforme en une traque pour sauver la fillette, Tessa, déclare soudain savoir où elle se trouve... Plus poignant que jamais, le nouveau suspense de Lisa Gardner, best-seller aux Etats-Unis, nous plonge avec un talent vertigineux au coeur du mensonge."
861,Brève histoire de sept meurtres ,Marlon James,"Kingston, 3 décembre 1976. Deux jours avant un concert en faveur de la paix organisé par le parti au pouvoir, dans un climat d'extrême tension politique, sept hommes armés font irruption au domicile de Bob Marley. Le chanteur est touché à la poitrine et au bras. Pourtant, à la date prévue, il réunit 80 000 personnes lors d'un concert historique Construit comme une vaste fresque épique abritant plusieurs voix et des dizaines de personnages, ce livre monumental, couronné par le Man Booker Prize 2015, nous entraîne en Jamaïque et aux États-Unis, des années 1970 à nos jours. Convoquant hommes politiques, journalistes, agents de la CIA, barons de la drogue et membres de gangs, il s'interroge avec force sur les éternelles questions du pouvoir, de l'argent, de la politique et de la violence du monde. S'affirmant ici comme le fils spirituel de Toni Morrison et James Ellroy, Marlon James signe un livre hors normes, tour à tour sombre, drôle, cru, et toujours passionnant, signe d'une rare ambition littéraire et d'un talent prodigieux. « Un roman à la fois terrifiant, lyrique et magnifique, écrit par l'un des jeunes auteurs les plus talentueux d'aujourd'hui. » Russell Banks"
862,Eléphant ,Martin Suter, 
863,Le fou du roi ,Mahi Binebine, 
864,Juste une mauvaise action ,Elizabeth George, 
865,Tous les démons sont ici ,Craig Johnson, 
866,Ada ,Antoine Bello, 
867,L'appel ,James Frey, 
868,Les raisins de la colère ,John Steinbeck, 
869,Mémé dans les orties ,Aurélie Valognes, 
870,L'Armée furieuse ,Fred Vargas, 
871,Le Petit Chaperon rouge ,Jacob Grimm, 
872,Sacrifices ,Pierre Lemaitre, 
873,Portnoy et son complexe ,Philip Roth, 
874,La fabrique des pervers ,Sophie Chauveau, 
875,Musique ,Danielle Steel, 
876,Le détroit du Loup ,Olivier Truc, 
877,S'enfuir ,Martyn Bedford, 
878,"Dragon bleu, tigre blanc ",Xiaolong Qiu, 
879,Il reste la poussière ,Sandrine Collette, 
880,Le portrait de Dorian Gray ,Oscar Wilde, 
881,Du sang sur la Tamise ,Anne Perry, 
882,Les vivants et les morts ,Nele Neuhaus, 
883,Retour à Killybegs ,Sorj Chalandon, 
884,Double piège ,Harlan Coben, 
885,Un singulier garçon ,Kate Summerscale, 
886,Miséricorde ,Jussi Adler-Olsen, 
887,Vacances tous risques ,M.C. Beaton, 
888,Incurables ,Lars Kepler, 
889,"Moi, Boy ",Roald Dahl, 
890,Dans le silence du vent ,Louise Erdrich, 
891,Papillon de nuit ,Roger Jon Ellory, 
892,Une éducation catholique ,Catherine Cusset, 
893,Philothérapie ,Eliette Abécassis, 
894,Yeruldelgger ,Ian Manook, 
895,Nos années sauvages ,Karen Joy Fowler, 
896,Et rien d'autre ,James Salter, 
897,Six of crows ,Leigh Bardugo, 
898,Mort à crédit ,Louis-Ferdinand Céline, 
899,Une femme ,Janine Boissard, 
900,L'adversaire ,Emmanuel Carrère, 
901,Ma reine ,Jean-Baptiste Andrea, 
902,Une étude en écarlate ,Jean d' Aillon, 
903,Ne t'arrête pas ,Michelle Gagnon, 
904,La première chose qu'on regarde ,Grégoire Delacourt, 
905,La ville de la peur ,Jean d' Aillon, 
906,Le pas du renard ,Claude Izner, 
907,King Kong Théorie ,Virginie Despentes, 
908,La dernière fugitive ,Tracy Chevalier, 
909,La possibilité d'une île ,Michel Houellebecq, 
910,Le secret d'Adèle ,Valérie Trierweiler, 
911,Le fracas du temps ,Julian Barnes, 
912,Voyager ,Russell Banks, 
913,W ou Le souvenir d'enfance ,Georges Perec, 
914,Alive ,Scott Sigler, 
915,Regarde les lumières mon amour ,Annie Ernaux, 
916,Bon voisinage ,Ruth Rendell, 
917,À l'aveuglette ,Patricia Wentworth, 
918,NEED ,Joelle Charbonneau, 
919,After ,Anna Todd, 
920,Sous les vents de Neptune ,Fred Vargas, 
921,Le tour du monde en 72 jours ,Nellie Bly,"En plein essor du journalisme embarqué, dépêcher un reporter pour battre un record fictif du tout du monde était une bonne idée. Envoyer une femme en était une meilleure encore. Lorsque Nellie Bly entreprend sa circumnavigation en novembre 1889 pour le journal New York World, elle part seule, chargée d'un unique sac à main de voyage. Son objectif : coiffer au poteau Phileas Fogg, le héros britannique du roman de Jules Vernes, Le Tour du monde en 80 jours. Costume de voyage – cape, veste bleue à col haut, jupe, long manteau de tartan et mallette de cuir –, Nellie Bly boucle en 72 jours une ode à l'audace et à la détermination sans jamais se départir de son impeccable autodérision. Après 10 jours dans un asile, le succès inouï de cette nouvelle aventure consacre Nellie Bly comme figure de la lutte pour l'émancipation des femmes et pionnière du journalisme d'investigation."
922,Les salauds devront payer ,Emmanuel Grand,"Wollaing. Une petite ville du Nord minée par le chômage. Ici, les gamins rêvent de devenir joueurs de foot ou stars de la chanson. Leurs parents ont vu les usines se transformer en friches et, en dehors des petits boulots et du trafic de drogue, l’unique moyen de boucler les fins de mois est de frapper à la porte de prêteurs véreux. À des taux qui tuent... Aussi, quand la jeune Pauline est retrouvée assassinée dans un terrain vague, tout accuse ces usuriers modernes et leurs méthodes musclées. Mais derrière ce meurtre, le commandant de police Erik Buchmeyer distingue d’autres rancœurs. D’autres salauds. Et Buch sait d’expérience qu’il faut parfois écouter la petite idée tordue qui vous taraude, la suivre jusque dans les méandres obscurs des non-dits et du passé. Tantôt roman social trouble, tantôt thriller haletant, Les Salauds devront payer est une machiavélique histoire de vengeance. Emmanuel Grand y confirme son habileté à camper des personnages forts et à échafauder des scénarios diablement efficaces. «Emmanuel Grand confirme les espoirs que l’on avait placés en lui avec cet excellent thriller social, tableau saisissant d’une France à la dérive.» François Lestavel Onlalu ** Prix Polar SNCF 2016 **"
923,L'oubli ,David Foster Wallace, 
924,La patience du diable ,Maxime Chattam,"Le Mal peut-il contaminer ceux qui le traquent ? Un go-fast pris en flag qui transporte bien pire que de la drogue... Deux ados qui tirent sur les passagers d'un TGV lancé à pleine vitesse... Des gens ordinaires découverts morts... de terreur. Le Diable mène le bal, le monde est devenu fou. Lieutenant à la Section de Recherche de Paris, Ludivine Vancker comprend bientôt qu'un fil sanglant relie ces faits divers. Rien ne pourra l'empêcher de remonter la piste à sa source. Aux racines de la peur. Après La Conjuration primitive, Maxime Chattam, dans ce thriller d'une maîtrise glaçante, sème plus que jamais le doute."
925,Sombre dimanche ,Alice Zeniter,"Les Mandy habitent de génération en génération la même maison en bois posée au bord des rails près de la gare Nyugati à Budapest. Le jeune Imre grandit dans un univers mélancolique de non-dits et de secrets où Staline est toujours tenu pour responsable des malheurs de la famille. Même après l'effondrement de l'URSS, qui fait entrer dans la vie d'Imre les sex shops, une jeune Allemande et une certaine idée de l'Ouest et d'un bonheur qui n'est pas pour lui. Roman à la poétique singulière, tout en dégradés de lumière et de nostalgie, Sombre dimanche confirme le talent d'Alice Zeniter, révélée par Jusque dans nos bras."
926,"Deux amants, c'est beaucoup mieux ! ",Benoît Duteurtre,"L’histoire se déroule à Paris le 12 novembre 1918, jour de la première de la comédie musicale Phi Phi. Deux jeunes artistes, accompagnés d’une modèle et d'un vieux dandy, déambulent à la recherche d'idées pour en finir avec l'horreur de la guerre et les langueurs de la Belle Époque. Ils découvrent les rythmes américains, la comédie des apparences, le plaisir d'aimer et de tromper. Leurs expériences de cette journée esquissent un style de vie qu’on associera plus tard aux Années Folles."
